# source: Mechanical strip of FinnGen ICD-10-FI patterns → standard ICD-10-CM ancestor → Athena Maps-to SNOMED
# target_vocab: SNOMED (Athena 5.4 snapshot — live vocab.concept, verified 2026-04-17)
# license: Derived work (FinnGen patterns are facts; Athena mappings CC-BY-4.0)
# curator: Phase 13-04 executor (Parthenon GSD agent)
source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason,provenance_tag
C4482,0,ICD10_FIN,Other and unspecified malignant neoplasm of skin,139750,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C4491,0,ICD10_FIN,Other and unspecified malignant neoplasm of skin,139750,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C4492,0,ICD10_FIN,Other and unspecified malignant neoplasm of skin,139750,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C5103,0,ICD10_FIN,Malignant neoplasm of vulva,195197,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C5113,0,ICD10_FIN,Malignant neoplasm of vulva,195197,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C5123,0,ICD10_FIN,Malignant neoplasm of vulva,195197,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C5182,0,ICD10_FIN,Malignant neoplasm of vulva,195197,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C5293,0,ICD10_FIN,Malignant neoplasm of vagina,196048,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C5671,0,ICD10_FIN,Malignant neoplasm of ovary,200051,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C5672,0,ICD10_FIN,Malignant neoplasm of ovary,200051,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C5673,0,ICD10_FIN,Malignant neoplasm of ovary,200051,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C62.2,0,ICD10_FIN,Malignant neoplasm of testis,433716,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C6480,0,ICD10_FIN,"Malignant neoplasm of kidney, except renal pelvis",198985,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C6902,0,ICD10_FIN,Malignant neoplasm of eye and adnexa,4160342,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C6921,0,ICD10_FIN,Malignant neoplasm of eye and adnexa,4160342,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C69[34],0,ICD10_FIN,Malignant neoplasm of eye and adnexa,4160342,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C6981,0,ICD10_FIN,Malignant neoplasm of eye and adnexa,4160342,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C6982,0,ICD10_FIN,Malignant neoplasm of eye and adnexa,4160342,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C6991,0,ICD10_FIN,Malignant neoplasm of eye and adnexa,4160342,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C6992,0,ICD10_FIN,Malignant neoplasm of eye and adnexa,4160342,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C7391,0,ICD10_FIN,Malignant neoplasm of thyroid gland,133424,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C7392,0,ICD10_FIN,Malignant neoplasm of thyroid gland,133424,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C7394,0,ICD10_FIN,Malignant neoplasm of thyroid gland,133424,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C830,0,ICD10_FIN,Non-follicular lymphoma,4003830,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C831,0,ICD10_FIN,Non-follicular lymphoma,4003830,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C833,0,ICD10_FIN,Non-follicular lymphoma,4003830,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C837,0,ICD10_FIN,Non-follicular lymphoma,4003830,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C838,0,ICD10_FIN,Non-follicular lymphoma,4003830,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C841,0,ICD10_FIN,Mature T/NK-cell lymphomas,4212994,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C880,0,ICD10_FIN,Malignant immunoproliferative diseases and certain other B-cell lymphomas,4003834,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C900,0,ICD10_FIN,Multiple myeloma and malignant plasma cell neoplasms,437233,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C901,0,ICD10_FIN,Multiple myeloma and malignant plasma cell neoplasms,437233,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C910,0,ICD10_FIN,Lymphoid leukemia,132853,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C911,0,ICD10_FIN,Lymphoid leukemia,132853,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C913,0,ICD10_FIN,Lymphoid leukemia,132853,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C914,0,ICD10_FIN,Lymphoid leukemia,132853,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C915,0,ICD10_FIN,Lymphoid leukemia,132853,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C916,0,ICD10_FIN,Lymphoid leukemia,132853,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C920,0,ICD10_FIN,Myeloid leukemia,140666,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C921,0,ICD10_FIN,Myeloid leukemia,140666,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C923,0,ICD10_FIN,Myeloid leukemia,140666,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C924,0,ICD10_FIN,Myeloid leukemia,140666,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C925,0,ICD10_FIN,Myeloid leukemia,140666,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C930,0,ICD10_FIN,Monocytic leukemia,321526,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C940,0,ICD10_FIN,Other leukemias of specified cell type,317510,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C942,0,ICD10_FIN,Other leukemias of specified cell type,317510,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C944,0,ICD10_FIN,Other leukemias of specified cell type,317510,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
C945,0,ICD10_FIN,Other leukemias of specified cell type,317510,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D000,0,ICD10_FIN,"Carcinoma in situ of oral cavity, esophagus and stomach",196064,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D0000,0,ICD10_FIN,"Carcinoma in situ of oral cavity, esophagus and stomach",196064,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D0001,0,ICD10_FIN,"Carcinoma in situ of oral cavity, esophagus and stomach",196064,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D0002,0,ICD10_FIN,"Carcinoma in situ of oral cavity, esophagus and stomach",196064,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D0003,0,ICD10_FIN,"Carcinoma in situ of oral cavity, esophagus and stomach",196064,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D0004,0,ICD10_FIN,"Carcinoma in situ of oral cavity, esophagus and stomach",196064,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D0005,0,ICD10_FIN,"Carcinoma in situ of oral cavity, esophagus and stomach",196064,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D0006,0,ICD10_FIN,"Carcinoma in situ of oral cavity, esophagus and stomach",196064,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D0007,0,ICD10_FIN,"Carcinoma in situ of oral cavity, esophagus and stomach",196064,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D001,0,ICD10_FIN,"Carcinoma in situ of oral cavity, esophagus and stomach",196064,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D002,0,ICD10_FIN,"Carcinoma in situ of oral cavity, esophagus and stomach",196064,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D010,0,ICD10_FIN,Carcinoma in situ of other and unspecified digestive organs,196064,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
